ticker,year,hq_state,total_deposits_k,hq_state_deposits_k,locality,n_states,n_branches,n_certs,top_state,top_state_share
PB,2017,TX,17101925.0,15329712.0,0.8963734784242124,2,266,1,TX,0.8963734784242124
PB,2018,TX,17006748.0,15474234.0,0.9098878868552648,2,265,1,TX,0.9098878868552648
PB,2019,TX,16941164.0,15498868.0,0.9148644095529681,2,265,1,TX,0.9148644095529681
PB,2020,TX,26240690.0,24477276.0,0.9327984896738615,2,307,1,TX,0.9327984896738615
PB,2021,TX,29194300.0,27347918.0,0.9367553940323967,2,307,1,TX,0.9367553940323967
PB,2022,TX,29949954.0,28075010.0,0.9373974330645048,2,298,1,TX,0.9373974330645048
PB,2023,TX,27462008.0,25924795.0,0.9440240131020281,2,315,1,TX,0.9440240131020281
PB,2024,TX,28030434.0,26489549.0,0.9450281433387724,2,320,1,TX,0.9450281433387724
PB,2025,TX,27802726.0,26336816.0,0.9472745945847181,2,314,1,TX,0.9472745945847181
RF,2009,AL,93701749.0,18920031.0,0.201917586404924,16,1882,1,AL,0.201917586404924
RF,2010,AL,95794707.0,18724393.0,0.19546375354538117,16,1774,1,FL,0.19993873983037497
RF,2011,AL,98397236.0,22065354.0,0.2242477014293369,16,1768,1,AL,0.2242477014293369
RF,2012,AL,95495017.0,21177918.0,0.22176987517579058,16,1720,1,AL,0.22176987517579058
RF,2013,AL,93514913.0,21246906.0,0.22720339802914644,16,1709,1,AL,0.22720339802914644
RF,2014,AL,96092993.0,22829805.0,0.23758033012875351,16,1673,1,AL,0.23758033012875351
RF,2015,AL,98120237.0,22262011.0,0.22688501047954052,16,1631,1,AL,0.22688501047954052
RF,2016,AL,99120219.0,22586738.0,0.2278721559321817,15,1599,1,AL,0.2278721559321817
RF,2017,AL,99191861.0,22677627.0,0.22862386864583578,15,1492,1,AL,0.22862386864583578
RF,2018,AL,96610746.0,21902257.0,0.22670621961660456,15,1476,1,AL,0.22670621961660456
RF,2019,AL,98330000.0,24881504.0,0.25304082172277026,15,1460,1,AL,0.25304082172277026
RF,2020,AL,119821000.0,29538423.0,0.24652125253503143,15,1391,1,AL,0.24652125253503143
RF,2021,AL,132757000.0,30271287.0,0.22802027011758325,15,1313,1,AL,0.22802027011758325
RF,2022,AL,139563000.0,32590079.0,0.2335151795246591,15,1294,1,AL,0.2335151795246591
RF,2023,AL,129403000.0,32000137.0,0.24729053422254507,15,1276,1,AL,0.24729053422254507
